filename            bleu-3     bleu-4     Bert-P     Bert-R     Bert-F1    
CEM-0.txt           & 3.993      & 2.470      & 0.498      & 0.468      & 0.480      
CEM-1024.txt        & 4.034      & 2.536      & 0.500      & 0.468      & 0.482      
CEM-1234.txt        & 3.401      & 2.183      & 0.500      & 0.460      & 0.477      
CEM-4096.txt        & 3.389      & 2.148      & 0.497      & 0.460      & 0.475      
CEM-42.txt          & 2.925      & 1.867      & 0.497      & 0.451      & 0.470      
EmpDG-0.txt         & 3.415      & 1.764      & 0.477      & 0.465      & 0.469      
EmpDG-1024.txt      & 3.033      & 1.720      & 0.483      & 0.444      & 0.461      
EmpDG-1234.txt      & 3.921      & 2.192      & 0.476      & 0.460      & 0.466      
EmpDG-4096.txt      & 4.125      & 2.246      & 0.478      & 0.464      & 0.469      
EmpDG-42.txt        & 3.695      & 2.048      & 0.463      & 0.459      & 0.459      
GEE_MIME-0.txt      & 2.846      & 1.435      & 0.473      & 0.445      & 0.457      
GEE_MIME-1024.txt   & 2.861      & 1.619      & 0.474      & 0.442      & 0.456      
GEE_MIME-1234.txt   & 2.400      & 1.260      & 0.470      & 0.441      & 0.453      
GEE_MIME-4096.txt   & 2.884      & 1.584      & 0.470      & 0.445      & 0.455      
GEE_MIME-42.txt     & 2.832      & 1.609      & 0.475      & 0.443      & 0.457      
GREmp-0.txt         & 5.025      & 2.986      & 0.507      & 0.477      & 0.490      
GREmp-1024.txt      & 4.872      & 2.951      & 0.503      & 0.476      & 0.487      
GREmp-1234.txt      & 4.766      & 2.920      & 0.495      & 0.473      & 0.482      
GREmp-4096.txt      & 4.703      & 2.862      & 0.503      & 0.473      & 0.486      
GREmp-42.txt        & 5.033      & 3.047      & 0.497      & 0.478      & 0.485      
KEMP-0.txt          & 4.441      & 2.614      & 0.489      & 0.463      & 0.474      
KEMP-1024.txt       & 3.700      & 2.223      & 0.481      & 0.457      & 0.466      
KEMP-1234.txt       & 4.284      & 2.500      & 0.490      & 0.466      & 0.476      
KEMP-4096.txt       & 4.355      & 2.543      & 0.483      & 0.461      & 0.470      
KEMP-42.txt         & 3.857      & 2.272      & 0.477      & 0.455      & 0.464      
MIME-0.txt          & 4.431      & 2.618      & 0.491      & 0.464      & 0.475      
MIME-1024.txt       & 4.628      & 2.836      & 0.496      & 0.465      & 0.478      
MIME-1234.txt       & 4.599      & 2.785      & 0.490      & 0.469      & 0.477      
MIME-4096.txt       & 4.530      & 2.699      & 0.486      & 0.469      & 0.475      
MIME-42.txt         & 4.213      & 2.602      & 0.485      & 0.464      & 0.472      
MoEL-0.txt          & 4.739      & 2.888      & 0.489      & 0.469      & 0.477      
MoEL-1024.txt       & 4.598      & 2.818      & 0.511      & 0.470      & 0.487      
MoEL-1234.txt       & 3.610      & 2.246      & 0.490      & 0.456      & 0.470      
MoEL-4096.txt       & 4.479      & 2.829      & 0.500      & 0.465      & 0.480      
MoEL-42.txt         & 5.233      & 3.230      & 0.503      & 0.476      & 0.487      
RecEC-0.txt         & 3.248      & 1.796      & 0.493      & 0.463      & 0.475      
RecEC-1024.txt      & 3.033      & 1.616      & 0.484      & 0.462      & 0.470      
RecEC-1234.txt      & 2.876      & 1.547      & 0.492      & 0.458      & 0.472      
RecEC-4096.txt      & 2.845      & 1.460      & 0.491      & 0.462      & 0.475      
RecEC-42.txt        & 3.079      & 1.697      & 0.494      & 0.461      & 0.475      
RecEC.txt           & 3.384      & 1.895      & 0.490      & 0.460      & 0.472      
TRS-0.txt           & 4.346      & 2.670      & 0.493      & 0.467      & 0.477      
TRS-1024.txt        & 4.887      & 2.889      & 0.501      & 0.479      & 0.488      
TRS-1234.txt        & 5.076      & 3.122      & 0.496      & 0.476      & 0.484      
TRS-4096.txt        & 4.827      & 2.996      & 0.486      & 0.466      & 0.474      
TRS-42.txt          & 5.003      & 3.062      & 0.497      & 0.474      & 0.483      
ablation-0.txt      & 4.702      & 2.852      & 0.497      & 0.475      & 0.484      
ablation-1024.txt   & 4.966      & 2.953      & 0.508      & 0.475      & 0.489      
ablation-1234.txt   & 4.671      & 2.758      & 0.502      & 0.474      & 0.486      
ablation-4096.txt   & 4.641      & 2.741      & 0.503      & 0.470      & 0.484      
ablation-42.txt     & 4.713      & 2.860      & 0.496      & 0.470      & 0.480      
reason-0.txt        & 4.567      & 2.814      & 0.493      & 0.469      & 0.479      
reason-1024.txt     & 4.962      & 2.946      & 0.490      & 0.476      & 0.481      
reason-1234.txt     & 4.700      & 2.785      & 0.500      & 0.474      & 0.485      
reason-4096.txt     & 4.678      & 2.799      & 0.496      & 0.474      & 0.483      
reason-42.txt       & 4.804      & 2.821      & 0.484      & 0.472      & 0.476      
